# n,num. ele.,NGS,ele. ord.,L2-norm,grad1(0.5;0.5;1),t_solve [s]
2.000000000000000000e+00,4.800000000000000000e+01,1.600000000000000000e+01,1.000000000000000000e+00,1.624234219605705520e-01,1.274610331649704831e+00,4.478764533996582031e-02
4.000000000000000000e+00,3.840000000000000000e+02,8.000000000000000000e+00,1.000000000000000000e+00,8.757100045992731452e-02,1.798358279089361078e+00,5.550026893615722656e-02
8.000000000000000000e+00,3.072000000000000000e+03,4.000000000000000000e+00,1.000000000000000000e+00,2.867652081607663384e-02,1.864835912343586033e+00,3.868458271026611328e-01
1.600000000000000000e+01,2.457600000000000000e+04,2.000000000000000000e+00,1.000000000000000000e+00,7.754313392754867348e-03,1.926814186620083191e+00,3.225472688674926758e+00
3.200000000000000000e+01,1.966080000000000000e+05,1.000000000000000000e+00,1.000000000000000000e+00,1.979015745032278693e-03,1.964695400487135757e+00,2.527861952781677246e+01
2.000000000000000000e+00,4.800000000000000000e+01,1.600000000000000000e+01,2.000000000000000000e+00,6.361902407776724722e-02,1.845897190016908107e+00,2.653758049011230469e+00
4.000000000000000000e+00,3.840000000000000000e+02,8.000000000000000000e+00,2.000000000000000000e+00,1.404366116179870706e-02,2.006740580117781114e+00,1.932020187377929688e-01
8.000000000000000000e+00,3.072000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,2.662320577086911815e-03,2.008220327778518666e+00,2.868927717208862305e+00
1.600000000000000000e+01,2.457600000000000000e+04,2.000000000000000000e+00,2.000000000000000000e+00,5.937863327304061713e-04,1.999470962406178387e+00,3.445038866996765137e+01
3.200000000000000000e+01,1.966080000000000000e+05,1.000000000000000000e+00,2.000000000000000000e+00,1.435048161775831737e-04,1.996236557426820823e+00,3.655912656784057617e+02
